,School_ID,NAME_OF_SCHOOL,ZIP_Code,"Elementary, Middle, or High School",HEALTHY_SCHOOL_CERTIFIED,Safety_Icon,SAFETY_SCORE,Environment_Icon,Environment_Score,Instruction_Icon,Instruction_Score,Leaders_Icon,Leaders_Score,Teachers_Icon,Teachers_Score,Parent_Engagement_Icon,Parent_Engagement_Score,AVERAGE_STUDENT_ATTENDANCE,Rate_of_Misconducts__per_100_students_,Average_Teacher_Attendance,Graduation_Rate__,College_Enrollment_Rate__,COMMUNITY_AREA_NUMBER_S,COMMUNITY_AREA_NAME,CA,PERCENT_OF_HOUSING_CROWDED,PERCENT_HOUSEHOLDS_BELOW_POVERTY,PERCENT_AGED_16__UNEMPLOYED,PERCENT_AGED_25__WITHOUT_HIGH_SCHOOL_DIPLOMA,PERCENT_AGED_UNDER_18_OR_OVER_64,PER_CAPITA_INCOME,HARDSHIP_INDEX,ARRESTED_CASES,COMMUNITY_AREA_NUMBER
271,610298,Lenart Elementary Regional Gifted Center,60620,ES,No,Strong,79.0,Average,51.0,Strong,67.0,Weak,50,Strong,63,Average,52,97.40%,0.3,97.80%,NDA,NDA,44,CHATHAM,44,3.3,27.8,24.0,14.5,40.3,18881,60,1.0,44
272,610036,Leslie Lewis Elementary School,60651,ES,No,Weak,21.0,Weak,36.0,Strong,64.0,Weak,30,Average,48,Weak,42,91.80%,37.7,95.30%,NDA,NDA,25,AUSTIN,25,6.3,28.6,22.6,24.4,37.9,15957,73,11.0,25
273,609738,Lincoln Park High School,60614,HS,No,Strong,65.0,Average,44.0,Average,49.0,Weak,45,Average,45,NDA,NDA,84.60%,9.2,96.00%,77.9,75.5,7,LINCOLN PARK,7,0.8,12.3,5.1,3.6,21.5,71551,2,3.0,7
274,609807,Lionel Hampton Fine & Performing Arts Elementary School,60652,ES,No,Average,42.0,Weak,34.0,Weak,28.0,Weak,NDA,NDA,NDA,Weak,46,95.00%,94.9,96.60%,NDA,NDA,70,ASHBURN,70,4.0,10.4,11.7,17.7,36.9,23482,37,4.0,70
275,609834,Little Village Elementary School,60623,ES,No,Average,45.0,Average,52.0,Strong,66.0,Weak,45,Average,43,Average,47,96.70%,3.2,96.70%,NDA,NDA,30,SOUTH LAWNDALE,30,15.2,30.7,15.8,54.8,33.8,10402,96,1.0,30
276,609809,Lorenz Brentano Math & Science Academy Elementary School,60647,ES,No,Average,57.0,Average,43.0,Average,46.0,Weak,30,Weak,32,NDA,NDA,94.70%,9.2,97.70%,NDA,NDA,22,LOGAN SQUARE,22,3.2,16.8,8.2,14.8,26.2,31908,23,2.0,22
277,609773,Louis A Agassiz Elementary School,60657,ES,No,Average,53.0,Weak,23.0,Weak,21.0,Weak,NDA,NDA,NDA,Strong,56,95.20%,32.6,96.80%,NDA,NDA,6,LAKE VIEW,6,1.1,11.4,4.7,2.6,17.0,60058,5,3.0,6
278,609774,Louisa May Alcott Elementary School,60614,ES,No,NDA,,NDA,,NDA,,Weak,56,Average,57,Strong,60,96.60%,3.7,97.10%,NDA,NDA,7,LINCOLN PARK,7,0.8,12.3,5.1,3.6,21.5,71551,2,3.0,7
279,610156,Louis Armstrong Math & Science Elementary School,60644,ES,No,Average,42.0,Average,49.0,Strong,62.0,Weak,NDA,NDA,NDA,Strong,59,92.60%,83.4,97.90%,NDA,NDA,25,AUSTIN,25,6.3,28.6,22.6,24.4,37.9,15957,73,11.0,25
280,610094,Louis Nettelhorst Elementary School,60657,ES,No,Average,58.0,Weak,34.0,Weak,30.0,Weak,NDA,NDA,NDA,NDA,NDA,95.50%,5.3,95.90%,NDA,NDA,6,LAKE VIEW,6,1.1,11.4,4.7,2.6,17.0,60058,5,3.0,6
